time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,surface_area_km2,lwe_thickness_km3,uncertainty_km3,TotalSoilMoisture_kg/m2,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_km3,SWE_km3,Qs_acc_km3
2008-10-16 12:00:00,25.25,88.25,18.218249010539274,3.875308578426469,1.0277413318537854,2795.741336864437,0.5234647529859889,0.1083436038581223,1693.97444,0.0,1.47916666e-05,1.18355412,0.0,1.03339883e-08
2008-10-16 12:00:00,26.25,89.25,13.715922235413064,3.043878912575804,1.2809619118947355,2772.3035354619205,0.4870819203379654,0.0843855627085188,2347.79514,0.0,5.7625001e-05,1.6271387000000002,0.0,3.9938123e-08
2008-10-16 12:00:00,22.75,88.25,18.218249010539274,3.875308578426469,0.8263106409296362,2850.5950685928287,0.4291266721980277,0.1104693552293798,2658.61704,0.0,0.000289916665,1.89109808,0.0,2.06305887e-07
2008-10-16 12:00:00,22.75,86.75,18.218249010539274,3.875308578426469,1.0119802160227347,2850.5950685928287,0.5255501755895421,0.1104693552293798,2018.59359,0.0,8.3333334e-08,1.4358899699999998,0.0,5.927803100000001e-11
2008-10-16 12:00:00,23.25,88.25,18.218249010539274,3.875308578426469,1.141514266533414,2840.055230014247,0.5906289947026017,0.1100609039607917,2004.63796,0.0,1.39999996e-05,1.42114889,0.0,9.9308524e-09
2008-10-16 12:00:00,22.25,88.25,19.62811484203364,3.478547926003186,1.3317331549608438,2860.91782332041,0.7478270769219061,0.0995183976077676,3024.5072,0.0,0.00676224984,2.15939935,0.0,4.83020216e-06
2008-10-16 12:00:00,23.75,87.25,18.218249010539274,3.875308578426469,1.0547837018250346,2829.2991102341784,0.5436869481735228,0.1096440711282489,1580.9002,0.0,2.29166665e-06,1.11647579,0.0,1.618364e-09
2008-10-16 12:00:00,23.25,86.75,18.218249010539274,3.875308578426469,0.9672265741072044,2840.055230014247,0.5004510901553919,0.1100609039607917,2064.1485,0.0,4.16666664e-07,1.4627741099999998,0.0,2.95056896e-10
2008-10-16 12:00:00,22.25,87.75,19.62811484203364,3.478547926003186,1.50542489463114,2860.91782332041,0.8453626721567767,0.0995183976077676,2710.78105,0.0,0.002611666675,1.9355544,0.0,1.86599001e-06
2008-10-16 12:00:00,24.25,87.75,18.218249010539274,3.875308578426469,0.955445765724529,2818.327528372789,0.4905735587129542,0.1092188884751853,2346.3853,0.0,4.62500003e-06,1.65651647,0.0,3.2625145e-09
2008-10-16 12:00:00,25.75,88.25,15.11855539744993,2.7781743466608333,0.935049981980547,2784.128447243403,0.3935812399418672,0.0773479422994028,600.95087,0.0,8.791667e-06,0.41872025,0.0,6.125707e-09
2008-10-16 12:00:00,26.75,88.75,13.715922235413064,3.043878912575804,1.2500309329684212,2760.267502032804,0.4732568911878164,0.0840192004250594,1732.6340999999998,0.0,2.46249997e-05,1.1960918,0.0,1.7005915e-08
