time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,TotalSoilMoisture_kg/m2,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_cm,SWE_cm,Qs_acc_cm,TotalSoilMoisture_mean_cm,SWE_mean_cm,Qs_acc_mean_cm,TotalSoilMoisture_anomaly_cm,SWE_anomaly_cm,Qs_acc_anomaly_cm
2015-03-16 12:00:00,26.75,88.75,-40.55183020557384,2.272229206205515,1.2500309329684212,1367.1777,0.0,0.0153285419,45.572589666666666,0.0,0.0005109513966666,56.21999885442177,0.0,0.005816040314946108,-10.647409187755102,0.0,-0.005305088918279508
2015-03-16 12:00:00,26.75,89.25,-40.55183020557384,2.272229206205515,1.2809619118947355,980.05092,0.0,0.01332925,49.002545,0.0,0.0006664625,60.22286554897959,1.6458197959183674e-08,0.008956738057109621,-11.220320548979593,-1.6458197959183674e-08,-0.008290275557109622
2015-03-16 12:00:00,22.75,87.25,-6.348685175517059,2.884800684136769,0.9523005579861872,1619.90309,0.0,0.0268188332999999,40.497579,0.0,0.00067047085,52.83730774183674,0.0,0.003118739612488881,-12.339728741836737,0.0,-0.002448268762488881
2015-03-16 12:00:00,21.75,87.75,-12.580111242675532,2.525742864299439,0.4385385837881416,1844.407,0.0,0.19076821,61.48023233333333,0.0,0.0063589405999999,72.14840348843536,0.0,0.01561565794605075,-10.66817115510203,0.0,-0.009256717346050849
2015-03-16 12:00:00,23.75,87.75,-6.348685175517059,2.884800684136769,1.0547837018250346,1623.59475,0.0,0.0151180833,40.58987,0.0,0.0003779520849999,53.86608548265306,0.0,0.0031881012117188755,-13.276215482653065,0.0,-0.0028101491267189757
2015-03-16 12:00:00,23.25,88.25,-6.348685175517059,2.884800684136769,1.141514266533414,1379.09349,0.0,0.021744542,45.96978433333334,0.0,0.0007248180666666,60.22283286802721,0.0,0.005982602647287807,-14.253048534693875,0.0,-0.005257784580621207
2015-03-16 12:00:00,22.75,88.25,-6.348685175517059,2.884800684136769,0.8263106409296362,1871.62546,0.0,0.049258832,46.7906375,0.0,0.00123147088,60.16415105714286,0.0,0.005700203875366921,-13.373513557142857,0.0,-0.004468732995366921
2015-03-16 12:00:00,25.25,88.25,-6.348685175517059,2.884800684136769,1.0277413318537854,1395.32919,0.0,0.0268335837,46.510975,0.0,0.0008944528133333,55.58003377006803,0.0,0.004647848369617519,-9.069058770068025,0.0,-0.0037533955562842193
2015-03-16 12:00:00,24.25,87.75,-6.348685175517059,2.884800684136769,0.955445765724529,1623.59475,0.0,0.0151180833,40.58987,0.0,0.0003779520849999,53.86608548265306,0.0,0.0031881012117188755,-13.276215482653065,0.0,-0.0028101491267189757
2015-03-16 12:00:00,23.25,87.75,-6.348685175517059,2.884800684136769,1.0547837018250346,1599.56838,0.0,0.0117063334,39.9892105,0.0,0.00029265834,55.21947521836735,0.0,0.00316269427038147,-15.230264718367351,0.0,-0.00287003593038147
2015-03-16 12:00:00,25.75,88.25,-13.717030185967078,2.0763918912817028,0.935049981980547,494.1479,0.0,0.012753833,49.41479,0.0,0.0012753833,58.45475114285714,0.0,0.0057786134141932346,-9.039961142857138,0.0,-0.004503230114193234
2015-03-16 12:00:00,22.75,87.75,-6.348685175517059,2.884800684136769,0.9523005579861872,1585.31781,0.0,0.0279440006,39.632945,0.0,0.0006986000125,54.18914975918367,0.0,0.003217556589345911,-14.556204759183672,0.0,-0.002518956576845911
2015-03-16 12:00:00,21.75,88.25,-12.580111242675532,2.525742864299439,0.0815523886479138,1870.7593,0.0,0.174948793,62.35864366666666,0.0,0.0058316265666666,73.15880656734694,0.0,0.017800746279264305,-10.800162900680284,0.0,-0.011969119712597705
2015-03-16 12:00:00,22.25,88.75,-12.580111242675532,2.525742864299439,1.3317331549608438,1203.05666,0.0,0.1097764129999999,60.152832,0.0,0.0054888208,71.86129767755101,0.0,0.0158767341858656,-11.708465677551011,0.0,-0.0103879133858656
2015-03-16 12:00:00,25.25,88.75,-6.348685175517059,2.884800684136769,1.0277413318537854,0.0,0.0,0.0,,,,,,,,,
2015-03-16 12:00:00,26.75,88.25,-13.717030185967078,2.0763918912817028,0.930137897705321,1841.10276,0.0,0.0241397917999999,46.02756875,0.0,0.000603494795,56.56019842040816,1.8117731377551023e-07,0.0059487187478888875,-10.532629670408163,-1.8117731377551023e-07,-0.005345223952888887
2015-03-16 12:00:00,22.25,88.25,-12.580111242675532,2.525742864299439,1.3317331549608438,2421.58566,0.0,0.1970132559999999,60.5396415,0.0,0.00492533155,70.54360525306123,0.0,0.012806183537441191,-10.003963753061228,0.0,-0.00788085198744119
2015-03-16 12:00:00,22.75,88.75,-6.348685175517059,2.884800684136769,0.8263106409296362,1175.04846,0.0,0.083051,58.7524225,0.0,0.0041525501,71.3283472612245,0.0,0.013368089854739909,-12.575924761224492,0.0,-0.009215539754739908
2015-03-16 12:00:00,26.25,89.25,-40.55183020557384,2.272229206205515,1.2809619118947355,1972.92444,0.0,0.0229951664,49.323111,0.0,0.000574879175,58.63572246020408,0.0,0.008723416834047676,-9.312611460204081,0.0,-0.008148537659047677
2015-03-16 12:00:00,22.75,86.75,-6.348685175517059,2.884800684136769,1.0119802160227347,1536.18002,0.0,0.0192102913,38.4045015,0.0,0.0004802572875,49.751007663265305,0.0,0.00233156108083207,-11.346506163265303,0.0,-0.00185130379333207
2015-03-16 12:00:00,23.75,87.25,-6.348685175517059,2.884800684136769,1.0547837018250346,1178.6058,0.0,0.0086337082,39.286861,0.0,0.0002877902733333,50.94824690476191,0.0,0.0026135043054385733,-11.661385904761907,0.0,-0.0023257140321052733
2015-03-16 12:00:00,23.75,88.25,-6.348685175517059,2.884800684136769,1.141514266533414,2214.31018,0.0,0.0832242885999999,55.35775525,0.0,0.00208060729,67.15436994387754,0.0,0.010722234422887762,-11.796614693877544,0.0,-0.008641627132887762
