time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,TotalSoilMoisture_kg/m2,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_cm,SWE_cm,Qs_acc_cm
2013-10-16 12:00:00,24.25,87.75,14.16327363343736,3.8292766720152,0.955445765724529,2373.67261,0.0,1.00000002e-06,59.3418165,0.0,2.5000001e-08
2013-10-16 12:00:00,22.75,88.25,14.16327363343736,3.8292766720152,0.8263106409296362,2668.21544,0.0,1.5833333670000002e-06,66.705386,0.0,3.958333565e-08
2013-10-16 12:00:00,23.75,87.75,14.16327363343736,3.8292766720152,1.0547837018250346,2373.67261,0.0,1.00000002e-06,59.3418165,0.0,2.5000001e-08
2013-10-16 12:00:00,25.25,88.25,14.16327363343736,3.8292766720152,1.0277413318537854,1738.8788,0.0,4.8333334e-06,57.962626,0.0,1.611111153333333e-07
2013-10-16 12:00:00,25.25,88.75,14.16327363343736,3.8292766720152,1.0277413318537854,0.0,0.0,0.0,,,
2013-10-16 12:00:00,26.75,88.25,-3.609741197505235,2.664896522890289,0.930137897705321,2355.11256,0.0,8.3333333e-07,58.87781525,0.0,2.083333325e-08
2013-10-16 12:00:00,23.75,87.25,14.16327363343736,3.8292766720152,1.0547837018250346,1642.42377,0.0,1.25e-07,54.74746033333333,0.0,4.166666666666667e-09
2013-10-16 12:00:00,23.75,88.25,14.16327363343736,3.8292766720152,1.141514266533414,2934.76782,0.0,9.374999967e-06,73.3691975,0.0,2.3437500415e-07
2013-10-16 12:00:00,22.75,87.75,14.16327363343736,3.8292766720152,0.9523005579861872,2446.97505,0.0,1.6666667e-07,61.17437625,0.0,4.1666665e-09
2013-10-16 12:00:00,22.25,88.25,16.5714255796435,3.458820490769655,1.3317331549608438,3035.74234,0.0,1.69166666e-05,75.89355875,0.0,4.22916675e-07
2013-10-16 12:00:00,22.75,88.75,14.16327363343736,3.8292766720152,0.8263106409296362,1559.49006,0.0,4.3333333e-06,77.974502,0.0,2.16666665e-07
2013-10-16 12:00:00,23.25,86.25,14.16327363343736,3.8292766720152,0.9672265741072044,1511.29227,0.0,0.0,50.37641,0.0,0.0
2013-10-16 12:00:00,23.25,87.25,14.16327363343736,3.8292766720152,1.0547837018250346,2454.12838,0.0,0.0,61.35321025,0.0,0.0
2013-10-16 12:00:00,26.25,89.25,-4.311726671761592,3.0561376562812304,1.2809619118947355,2367.83546,0.0,7e-06,59.19588725,0.0,1.7500000000000005e-07
2013-10-16 12:00:00,24.25,88.25,14.16327363343736,3.8292766720152,1.0904283439857283,2934.76782,0.0,9.374999967e-06,73.3691975,0.0,2.3437500415e-07
2013-10-16 12:00:00,22.25,87.25,16.5714255796435,3.458820490769655,1.50542489463114,2239.71113,0.0,8.3333334e-08,55.9927795,0.0,2.0833333e-09
