time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,SMS_noah_cm,SWE_noah_cm,Runoff_noah_cm,SMS_clsm_cm,SWE_clsm_cm,Runoff_clsm_cm,SMS_vic_cm,SWE_vic_cm,Runoff_vic_cm,SMS_ensemble_cm,SWE_ensemble_cm,Runoff_ensemble_cm,SMS_ensemble_mean_cm,SWE_ensemble_mean_cm,Runoff_ensemble_mean_cm,SMS_ensemble_anomaly_cm,SWE_ensemble_anomaly_cm,Runoff_ensemble_anomaly_cm,GWS_ensemble_anomaly_cm
2007-09-16 00:00:00,22.75,87.25,40.88920908548648,4.250057797625937,0.9523005579861872,64.38410999999999,0.0,0.00456457465,34.924587,0.0,0.02503765,64.95855,0.0,0.02355617,54.755749,0.0,0.0177194648833333,42.22908591938776,0.0,0.013023213405435477,12.526663080612245,0.0,0.004696251477897822,28.357849753396337
2007-09-16 00:00:00,23.25,86.25,40.88920908548648,4.250057797625937,0.9672265741072044,55.91318366666667,0.0,0.0003050121066666,32.29951,0.0,0.00682534,61.13907,0.0,0.007074304,49.78392122222223,0.0,0.0047348853688888,39.74207932154195,0.0,0.010181628054918231,10.041841900680282,0.0,-0.005446742686029431,30.852813927492225
2007-09-16 00:00:00,22.25,87.75,36.568187855339296,3.760657228940748,1.50542489463114,75.44351175,0.0,0.0195595795,34.924587,0.0,0.02503765,64.95855,0.0,0.02355617,58.44221625,0.0,0.0227177998333333,45.202330999659864,0.0,0.014862830790236987,13.239885250340137,0.0,0.007854969043096311,23.320447635956064
2007-09-16 00:00:00,22.75,87.75,40.88920908548648,4.250057797625937,0.9523005579861872,68.91461749999999,0.0,0.0080523691749999,34.924587,0.0,0.02503765,64.95855,0.0,0.02355617,56.265918166666665,0.0,0.0188820630583333,42.67969992517006,0.0,0.01305615239772116,13.586218241496603,0.0,0.0058259106606121415,27.297164933329263
2007-09-16 00:00:00,23.25,87.75,40.88920908548648,4.250057797625937,1.0547837018250346,69.835295,0.0,0.005661627925,36.324932,0.0,0.017862601,60.738583,0.0,0.017911552,55.632936666666666,0.0,0.013811926975,41.71929512857143,0.0,0.010544109660562993,13.913641538095234,0.0,0.003267817314437007,26.972299730076806
2007-09-16 00:00:00,23.75,87.75,40.88920908548648,4.250057797625937,1.0547837018250346,67.02361775,0.0,0.0037266603249999,36.324932,0.0,0.017862601,60.738583,0.0,0.017911552,54.69571091666666,0.0,0.0131669377749999,41.26816521666667,0.0,0.010552578641008795,13.427545699999996,0.0,0.002614359133991105,27.45904902635249
2007-09-16 00:00:00,24.25,87.75,40.88920908548648,4.250057797625937,0.955445765724529,67.02361775,0.0,0.0037266603249999,36.324932,0.0,0.017862601,60.738583,0.0,0.017911552,54.69571091666666,0.0,0.0131669377749999,41.26816521666667,0.0,0.010552578641008795,13.427545699999996,0.0,0.002614359133991105,27.45904902635249
2007-09-16 00:00:00,21.75,87.75,36.568187855339296,3.760657228940748,0.4385385837881416,82.26471666666667,0.0,0.0290033853333333,34.924587,0.0,0.02503765,64.95855,0.0,0.02355617,60.71595122222222,0.0,0.0258657351111111,48.666117834920634,0.0,0.0171888528499561,12.04983338730159,0.0,0.008676882261155,24.50967758577655
2007-09-16 00:00:00,26.25,89.25,36.57300144345851,3.399045828235981,1.2809619118947355,66.9431165,0.0,0.002118796325,39.585583,0.0,0.025896976,127.04815,0.0,0.018499399,77.85894983333334,0.0,0.0155050571083333,66.5723790989796,5.865364394557822e-10,0.02894694363167924,11.286570734353745,-5.865364394557822e-10,-0.01344188652334594,25.299872596214648
2007-09-16 00:00:00,26.75,89.25,36.57300144345851,3.399045828235981,1.2809619118947355,69.401275,0.0,0.00120732455,39.585583,0.0,0.025896976,127.04815,0.0,0.018499399,78.678336,0.0,0.0152012331833333,67.1014267952381,6.07260242585034e-09,0.029024717372699883,11.576909204761904,-6.07260242585034e-09,-0.013823484189366584,25.009915728958575
