time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,GWS_noah_cm,GWS_clsm_cm,GWS_vic_cm
2012-01-01 00:00:00,26.25,89.25,-30.672127285156616,2.815705157431782,1.2809619118947355,-18.48336128513469,-27.18406867740993,-13.11201088163801
2012-01-01 00:00:00,23.75,88.25,-16.71779168609806,3.6867871468773945,1.141514266533414,-11.26042412574513,-17.8622594322121,-13.832594383736357
2012-01-01 00:00:00,22.25,87.25,-8.131771422767391,3.241405774447156,1.50542489463114,-3.366261521903093,-10.329904369455612,1.4505713135511795
2012-01-01 00:00:00,23.25,87.25,-16.71779168609806,3.6867871468773945,1.0547837018250346,-9.801833176683775,-17.41420219753912,-6.467867083098753
2012-01-01 00:00:00,26.25,88.25,-22.847955380290017,2.617669191645695,0.930137897705321,-12.91677137387641,,
2012-01-01 00:00:00,22.75,88.25,-16.71779168609806,3.6867871468773945,0.8263106409296362,-11.286369387777334,-15.470614003385563,-17.43727054610024
2012-01-01 00:00:00,23.75,87.75,-16.71779168609806,3.6867871468773945,1.0547837018250346,-9.678821878442278,-17.41420219753912,-6.467867083098753
2012-01-01 00:00:00,23.25,88.25,-16.71779168609806,3.6867871468773945,1.141514266533414,-11.087662833706895,-17.8622594322121,-13.832594383736357
2012-01-01 00:00:00,26.75,88.75,-30.672127285156616,2.815705157431782,1.2500309329684212,-19.608118042301697,,
2012-01-01 00:00:00,23.25,87.75,-16.71779168609806,3.6867871468773945,1.0547837018250346,-10.179305258345334,-17.41420219753912,-6.467867083098753
2012-01-01 00:00:00,26.75,88.25,-22.847955380290017,2.617669191645695,0.930137897705321,-13.5988096809249,,
2012-01-01 00:00:00,23.75,87.25,-16.71779168609806,3.6867871468773945,1.0547837018250346,-9.090993039131376,-17.41420219753912,-6.467867083098753
2012-01-01 00:00:00,23.25,86.25,-16.71779168609806,3.6867871468773945,0.9672265741072044,-9.669166880420018,-17.703745202987015,-7.469030916926545
2012-01-16 12:00:00,25.25,88.75,-17.79982669351196,3.440590258690725,1.0277413318537854,,-14.418679692898278,1.237792437324611
2012-01-16 12:00:00,26.75,88.75,-33.644450695257355,2.7184726860426256,1.2500309329684212,-19.85844008787697,,
2012-01-16 12:00:00,22.75,88.25,-17.79982669351196,3.440590258690725,0.8263106409296362,-9.18308432473573,-14.689787638811463,-9.48905361358413
2012-01-16 12:00:00,23.25,88.25,-17.79982669351196,3.440590258690725,1.141514266533414,-8.560786517380794,-16.163891295765996,-7.902189264010252
2012-01-16 12:00:00,23.25,87.75,-17.79982669351196,3.440590258690725,1.0547837018250346,-8.054585451133981,-16.24433818195302,-6.913501185312651
2012-01-16 12:00:00,26.25,88.25,-21.681197995122183,2.424532692749356,0.930137897705321,-8.90398725163961,,
2012-01-16 12:00:00,22.75,87.75,-17.79982669351196,3.440590258690725,0.9523005579861872,-8.316160362653692,-17.497168362100183,-7.503928301193389
2012-01-16 12:00:00,23.75,87.75,-17.79982669351196,3.440590258690725,1.0547837018250346,-7.328951592407181,-16.24433818195302,-6.913501185312651
2012-01-16 12:00:00,23.25,86.25,-17.79982669351196,3.440590258690725,0.9672265741072044,-9.45515986358725,-16.560148446450917,-7.501031566740444
2012-01-16 12:00:00,23.75,87.25,-17.79982669351196,3.440590258690725,1.0547837018250346,-8.328505820364283,-16.24433818195302,-6.913501185312651
